id_spatial,community_board,borough,name,overall_pop,race_white,race_black,race_asian,race_latino,race_other,age0to17,age18to24,age25to44,age45to64,age65plus,on_time_hs_grad,not_complete_hs,hs_some_college,college_higher,poverty,rent_burden,obesity,hypertension,life_expectancy,self_rep_health,boro,garden_name,address,size,neighborhood_name,latitude,longitude,avg_org_value,avg_rev_value,avg_tot_appropriated,garden_num
101,M01,Manhattan,Financial District,63383,64,3,21,8,3,14,11,50,18,7,96,4,12,84,9,38,4,15,85.8,91,M,FishBridge Pk. (South-Water-Front Neigh. Assoc.),338-340 Pearl Street,0.1,Downtown Manhattan,40.709257,-74.00198,1382114.7047146403,1322203.1966501242,NA,1
102,M02,Manhattan,Greenwich Village and Soho,91638,74,2,15,7,3,9,10,42,24,15,91,4,12,84,9,38,4,15,85.8,91,M,City-As-School H.S.,16 Clarkson Street,0.11,West Village,40.729412,-74.006148,2488090.46275395,2477900.0970654627,267500,3
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,11 BC Serenity Garden,626 East 11th Street,0.054,East Village,40.727124,-73.978677,10921482.321637427,10924907.415204678,NA,43
104,M04,Manhattan,Clinton and Chelsea,122119,59,6,14,18,3,9,8,45,26,13,81,6,17,78,11,41,10,18,83.1,86,M,Clinton Community Garden,436 West 48th Street,0.35,Hell's Kitchen,40.762717,-73.991026,2546139.053617021,3097573.049361702,297500,6
105,M05,Manhattan,Midtown,53120,67,4,19,8,2,7,12,45,22,13,92,6,17,78,11,41,10,18,84.8,86,NA,NA,NA,NA,NA,NA,NA,8641612.950969214,8634972.21949829,NA,0
106,M06,Manhattan,Stuyvesant Town and Turtle Bay,144591,71,3,16,8,2,8,11,41,23,18,91,3,15,82,10,42,13,22,85.9,90,NA,NA,NA,NA,NA,NA,NA,5334304.337926902,5364620.03055722,NA,0
107,M07,Manhattan,Upper West Side,214744,66,7,9,15,2,15,5,34,27,18,83,6,16,78,9,40,10,21,84.7,93,M,Frederick Douglass Academy HS,2599 Adam Clayton Powell Jr Boulevard,0.197,NA,NA,NA,2592841.5122807017,2611023.3614035086,314375,5
108,M08,Manhattan,Upper East Side,225914,78,3,10,7,2,14,5,37,24,20,91,3,14,83,7,41,11,15,85.9,89,M,Life Sciences High School,320 96th Street NY NY 10128,NA,Upper East Side,NA,NA,3081325.7633949737,3067887.79943101,372727.2727272727,1
109,M09,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,M,Edgecomb Avenue Garden Park Sanctuary,339-341 Edgecomb Avenue,0.112,NA,40.826462,-73.941811,12759603.857142856,12786290.057142857,265000,13
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Bradhurst Avenue Tenants Association,Bradhurst Avenue,0.092,Hamilton Heights,NA,NA,844122.5357142857,923161.4523809524,NA,29
111,M11,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,M,110th Street Block Association,1651 Madison Avenue,0.043,East Harlem,40.796295,-73.947533,784543.1194968553,960505.6100628931,368413.3333333333,36
112,M12,Manhattan,Washington Heights and Inwood,195830,17,7,3,72,1,19,10,33,25,13,68,29,33,38,20,53,26,28,84,68,M,Dorothy K. McGowan Memorial Garden,513 W 158th Street,0.045,Washington Heights,40.833766,-73.942217,1959184,1959458.2051282052,305833.3333333333,12
201,X01,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,Q,Astoria Residents Reclaiming Our World (ARROW),35th St. Bet. 35th & 36th Aves,0.287,NA,NA,NA,1788515.6129032257,1769096.2580645161,453846.1538461539,24
