id_spatial,community_board,borough,name,overall_pop,race_white,race_black,race_asian,race_latino,race_other,age0to17,age18to24,age25to44,age45to64,age65plus,on_time_hs_grad,not_complete_hs,hs_some_college,college_higher,poverty,rent_burden,obesity,hypertension,life_expectancy,self_rep_health,boro,garden_name,address,size,latitude,longitude,avg_org_value,avg_rev_value,avg_tot_appropriated
101,M01,Manhattan,Financial District,63383,64,3,21,8,3,14,11,50,18,7,96,4,12,84,9,38,4,15,85.8,91,M,FishBridge Pk. (South-Water-Front Neigh. Assoc.),338-340 Pearl Street,0.1,40.709257,-74.00198,1382114.7047146403,1322203.1966501242,NA
102,M02,Manhattan,Greenwich Village and Soho,91638,74,2,15,7,3,9,10,42,24,15,91,4,12,84,9,38,4,15,85.8,91,M,City-As-School H.S.,16 Clarkson Street,0.11,40.729412,-74.006148,2488090.46275395,2477900.0970654627,267500
102,M02,Manhattan,Greenwich Village and Soho,91638,74,2,15,7,3,9,10,42,24,15,91,4,12,84,9,38,4,15,85.8,91,M,LaGuardia Corner Community Garden,511 LaGuardia Place,0.08,40.727809,-73.999159,2488090.46275395,2477900.0970654627,267500
102,M02,Manhattan,Greenwich Village and Soho,91638,74,2,15,7,3,9,10,42,24,15,91,4,12,84,9,38,4,15,85.8,91,M,Mfinda Kalunga Garden,Rivington Street Crossover (in Sarah Roosevelt Park),NA,NA,NA,2488090.46275395,2477900.0970654627,267500
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,11 BC Serenity Garden,626 East 11th Street,0.054,40.727124,-73.978677,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,11th Street Community Garden,422 East 11th Street,0.054,40.729079,-73.983327,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,5th Street Slope Garden Club,626-27 East 5th Street,0.031,40.723433,-73.980995,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,6BC Botanical Garden,624-628 E 6th Street,0.171,40.724036,-73.980569,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,6th Street & Avenue B Garden,78-92 Avenue B,0.315,40.724031,-73.981986,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,9th Street Community Garden & Park,703 East 9th Street,0.39,40.725211,-73.977776,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Alberts Garden,16-18 East 2nd Street,0.07,40.725347,-73.99132,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,"All Peoples Garden, Inc.",293-295 East 3rd Street,0.099,40.721396,-73.979916,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Auxiliary Services for High Schools @ P.S. 91,198 Forsyth Street,0.051,40.72252,-73.990728,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Avenue B Community Garden Association,200 Avenue B,0.05,40.728307,-73.978864,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Brisas Del Caribe,237 E 3rd Street,0.06,40.722296,-73.982048,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,CAMPOS,640-644 East 12th Street,0.119,40.727318,-73.977194,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Committee of Poor Peoples of the LES Community Garden,171 Stanton Street,0.058,40.72017,-73.984289,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Creative Little Garden,530 East 6th Street,0.06,40.72511,-73.983119,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,De Colores Community Garden,311-313 E 8th Street,0.066,40.725296,-73.979821,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Dias y Flores,520-522 East 13th Street,0.119,40.729306,-73.979885,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Earth People,333-335 East 8th Street,0.106,40.725022,-73.979172,10921482.321637427,10924907.415204678,NA
